Time (a-t-u) 	 x (a-l-u) 	 y (a-l-u)
0.000e+00	1.000e+00	0.000e+00
2.454e-02	9.997e-01	2.454e-02
4.909e-02	9.988e-01	4.907e-02
7.363e-02	9.973e-01	7.356e-02
9.817e-02	9.952e-01	9.802e-02
1.227e-01	9.925e-01	1.224e-01
1.473e-01	9.892e-01	1.467e-01
1.718e-01	9.853e-01	1.710e-01
1.963e-01	9.808e-01	1.951e-01
2.209e-01	9.757e-01	2.191e-01
2.454e-01	9.700e-01	2.430e-01
2.700e-01	9.638e-01	2.667e-01
2.945e-01	9.569e-01	2.903e-01
3.191e-01	9.495e-01	3.137e-01
3.436e-01	9.415e-01	3.369e-01
3.682e-01	9.330e-01	3.599e-01
3.927e-01	9.239e-01	3.827e-01
4.172e-01	9.142e-01	4.052e-01
4.418e-01	9.040e-01	4.276e-01
4.663e-01	8.932e-01	4.496e-01
4.909e-01	8.819e-01	4.714e-01
5.154e-01	8.701e-01	4.929e-01
5.400e-01	8.577e-01	5.141e-01
5.645e-01	8.449e-01	5.350e-01
5.890e-01	8.315e-01	5.556e-01
6.136e-01	8.176e-01	5.758e-01
6.381e-01	8.032e-01	5.957e-01
6.627e-01	7.883e-01	6.152e-01
6.872e-01	7.730e-01	6.344e-01
7.118e-01	7.572e-01	6.532e-01
7.363e-01	7.410e-01	6.716e-01
7.609e-01	7.242e-01	6.895e-01
7.854e-01	7.071e-01	7.071e-01
8.099e-01	6.895e-01	7.242e-01
8.345e-01	6.716e-01	7.410e-01
8.590e-01	6.532e-01	7.572e-01
8.836e-01	6.344e-01	7.730e-01
9.081e-01	6.152e-01	7.883e-01
9.327e-01	5.957e-01	8.032e-01
9.572e-01	5.758e-01	8.176e-01
9.817e-01	5.556e-01	8.315e-01
1.006e+00	5.350e-01	8.449e-01
1.031e+00	5.141e-01	8.577e-01
1.055e+00	4.929e-01	8.701e-01
1.080e+00	4.714e-01	8.819e-01
1.104e+00	4.496e-01	8.932e-01
1.129e+00	4.276e-01	9.040e-01
1.154e+00	4.052e-01	9.142e-01
1.178e+00	3.827e-01	9.239e-01
1.203e+00	3.599e-01	9.330e-01
1.227e+00	3.369e-01	9.415e-01
1.252e+00	3.137e-01	9.495e-01
1.276e+00	2.903e-01	9.569e-01
1.301e+00	2.667e-01	9.638e-01
1.325e+00	2.430e-01	9.700e-01
1.350e+00	2.191e-01	9.757e-01
1.374e+00	1.951e-01	9.808e-01
1.399e+00	1.710e-01	9.853e-01
1.424e+00	1.467e-01	9.892e-01
1.448e+00	1.224e-01	9.925e-01
1.473e+00	9.802e-02	9.952e-01
1.497e+00	7.356e-02	9.973e-01
1.522e+00	4.907e-02	9.988e-01
1.546e+00	2.454e-02	9.997e-01
1.571e+00	1.171e-15	1.000e+00
1.595e+00	-2.454e-02	9.997e-01
1.620e+00	-4.907e-02	9.988e-01
1.644e+00	-7.356e-02	9.973e-01
1.669e+00	-9.802e-02	9.952e-01
1.694e+00	-1.224e-01	9.925e-01
1.718e+00	-1.467e-01	9.892e-01
1.743e+00	-1.710e-01	9.853e-01
1.767e+00	-1.951e-01	9.808e-01
1.792e+00	-2.191e-01	9.757e-01
1.816e+00	-2.430e-01	9.700e-01
1.841e+00	-2.667e-01	9.638e-01
1.865e+00	-2.903e-01	9.569e-01
1.890e+00	-3.137e-01	9.495e-01
1.914e+00	-3.369e-01	9.415e-01
1.939e+00	-3.599e-01	9.330e-01
1.963e+00	-3.827e-01	9.239e-01
1.988e+00	-4.052e-01	9.142e-01
2.013e+00	-4.276e-01	9.040e-01
2.037e+00	-4.496e-01	8.932e-01
2.062e+00	-4.714e-01	8.819e-01
2.086e+00	-4.929e-01	8.701e-01
2.111e+00	-5.141e-01	8.577e-01
2.135e+00	-5.350e-01	8.449e-01
2.160e+00	-5.556e-01	8.315e-01
2.184e+00	-5.758e-01	8.176e-01
2.209e+00	-5.957e-01	8.032e-01
2.233e+00	-6.152e-01	7.883e-01
2.258e+00	-6.344e-01	7.730e-01
2.283e+00	-6.532e-01	7.572e-01
2.307e+00	-6.716e-01	7.410e-01
2.332e+00	-6.895e-01	7.242e-01
2.356e+00	-7.071e-01	7.071e-01
2.381e+00	-7.242e-01	6.895e-01
2.405e+00	-7.410e-01	6.716e-01
2.430e+00	-7.572e-01	6.532e-01
2.454e+00	-7.730e-01	6.344e-01
2.479e+00	-7.883e-01	6.152e-01
2.503e+00	-8.032e-01	5.957e-01
2.528e+00	-8.176e-01	5.758e-01
2.553e+00	-8.315e-01	5.556e-01
2.577e+00	-8.449e-01	5.350e-01
2.602e+00	-8.577e-01	5.141e-01
2.626e+00	-8.701e-01	4.929e-01
2.651e+00	-8.819e-01	4.714e-01
2.675e+00	-8.932e-01	4.496e-01
2.700e+00	-9.040e-01	4.276e-01
2.724e+00	-9.142e-01	4.052e-01
2.749e+00	-9.239e-01	3.827e-01
2.773e+00	-9.330e-01	3.599e-01
2.798e+00	-9.415e-01	3.369e-01
2.823e+00	-9.495e-01	3.137e-01
2.847e+00	-9.569e-01	2.903e-01
2.872e+00	-9.638e-01	2.667e-01
2.896e+00	-9.700e-01	2.430e-01
2.921e+00	-9.757e-01	2.191e-01
