        x 		 w 	    u(x,0.5) 	    error
     0.00000000     0.00000000     0.00000000     0.00000000
     0.10000000     0.00231414     0.00222241     0.00009173
     0.20000000     0.00440176     0.00422728     0.00017447
     0.30000000     0.00605850     0.00581836     0.00024014
     0.40000000     0.00712219     0.00683989     0.00028230
     0.50000000     0.00748871     0.00719188     0.00029683
     0.60000000     0.00712219     0.00683989     0.00028230
     0.70000000     0.00605850     0.00581836     0.00024014
     0.80000000     0.00440176     0.00422728     0.00017447
     0.90000000     0.00231414     0.00222241     0.00009173
     1.00000000     0.00000000     0.00000000     0.00000000
