        x 		 w 	    u(x,0.5) 	    error
     0.00000000     0.00000000     0.00000000     0.00000000
     0.10000000     0.00228652     0.00222241     0.00006411
     0.20000000     0.00434922     0.00422728     0.00012194
     0.30000000     0.00598619     0.00581836     0.00016783
     0.40000000     0.00703719     0.00683989     0.00019730
     0.50000000     0.00739934     0.00719188     0.00020745
     0.60000000     0.00703719     0.00683989     0.00019730
     0.70000000     0.00598619     0.00581836     0.00016783
     0.80000000     0.00434922     0.00422728     0.00012194
     0.90000000     0.00228652     0.00222241     0.00006411
     1.00000000     0.00000000     0.00000000     0.00000000
