        x 		 w 	    u(x,0.5) 	    error
     0.00000000     0.00000000     0.00000000     0.00000000
     0.10000000     0.00234196     0.00222241     0.00011954
     0.20000000     0.00445466     0.00422728     0.00022738
     0.30000000     0.00613132     0.00581836     0.00031296
     0.40000000     0.00720780     0.00683989     0.00036791
     0.50000000     0.00757873     0.00719188     0.00038684
     0.60000000     0.00720780     0.00683989     0.00036791
     0.70000000     0.00613132     0.00581836     0.00031296
     0.80000000     0.00445466     0.00422728     0.00022738
     0.90000000     0.00234196     0.00222241     0.00011954
     1.00000000     0.00000000     0.00000000     0.00000000
