x[i]|V[i]|Psi[i]|Chi[i]|Psi2[i]
-100|0|0|-0|0
-99.9|0|0|0|0
-99.8|0|0|0|0
-99.7|0|0|0|0
-99.6|0|0|0|0
-99.5|0|0|0|0
-99.4|0|0|0|0
-99.3|0|0|0|0
-99.2|0|0|0|0
-99.1|0|0|0|0
-99|0|0|0|0
-98.9|0|0|0|0
-98.8|0|0|0|0
-98.7|0|0|0|0
-98.6|0|0|0|0
-98.5|0|0|0|0
-98.4|0|0|0|0
-98.3|0|0|0|0
-98.2|0|0|0|0
-98.1|0|0|0|0
-98|0|0|0|0
-97.9|0|0|0|0
-97.8|0|0|0|0
-97.7|0|0|0|0
-97.6|0|0|0|0
-97.5|0|0|0|0
-97.4|0|0|0|0
-97.3|0|0|0|0
-97.2|0|0|0|0
-97.1|0|0|0|0
-97|0|0|0|0
-96.9|0|0|0|0
-96.8|0|0|0|0
-96.7|0|0|0|0
-96.6|0|0|0|0
-96.5|0|0|0|0
-96.4|0|0|0|0
-96.3|0|0|0|0
-96.2|0|0|0|0
-96.1|0|0|0|0
-96|0|0|0|0
-95.9|0|0|0|0
-95.8|0|0|0|0
-95.7|0|0|0|0
-95.6|0|0|0|0
-95.5|0|0|0|0
-95.4|0|0|0|0
-95.3|0|0|0|0
-95.2|0|0|0|0
-95.1|0|0|0|0
-95|0|0|0|0
-94.9|0|0|0|0
-94.8|0|0|0|0
-94.7|0|0|0|0
-94.6|0|0|0|0
-94.5|0|0|0|0
-94.4|0|0|0|0
-94.3|0|0|0|0
-94.2|0|0|0|0
-94.1|0|0|0|0
-94|0|0|0|0
-93.9|0|0|0|0
-93.8|0|0|0|0
-93.7|0|0|0|0
-93.6|0|0|0|0
-93.5|0|0|0|0
-93.4|0|0|0|0
-93.3|0|0|0|0
-93.2|0|0|0|0
-93.1|0|0|0|0
-93|0|0|0|0
-92.9|0|0|0|0
-92.8|0|0|0|0
-92.7|0|0|0|0
-92.6|0|0|0|0
-92.5|0|0|0|0
-92.4|0|0|0|0
-92.3|0|0|0|0
-92.2|0|0|0|0
-92.1|0|0|0|0
-92|0|0|0|0
-91.9|0|0|0|0
-91.8|0|0|0|0
-91.7|0|0|0|0
-91.6|0|0|0|0
-91.5|0|0|0|0
-91.4|0|0|0|0
-91.3|0|0|0|0
-91.2|0|0|0|0
-91.1|0|0|0|0
-91|0|0|0|0
-90.9|0|0|0|0
-90.8|0|0|0|0
-90.7|0|0|0|0
-90.6|0|0|0|0
-90.5|0|0|0|0
-90.4|0|0|0|0
-90.3|0|0|0|0
-90.2|0|0|0|0
-90.1|0|0|0|0
-90|0|0|0|0
-89.9|0|0|0|0
-89.8|0|0|0|0
-89.7|0|0|0|0
-89.6|0|0|0|0
-89.5|0|0|0|0
-89.4|0|0|0|0
-89.3|0|0|0|0
-89.2|0|0|0|0
-89.1|0|0|0|0
-89|0|0|0|0
-88.9|0|0|0|0
-88.8|0|0|0|0
-88.7|0|0|0|0
-88.6|0|0|0|0
-88.5|0|0|0|0
-88.4|0|0|0|0
-88.3|0|0|0|0
-88.2|0|0|0|0
-88.1|0|0|0|0
-88|0|0|0|0
-87.9|0|0|0|0
-87.8|0|0|0|0
-87.7|0|0|0|0
-87.6|0|0|0|0
-87.5|0|0|0|0
-87.4|0|0|0|0
-87.3|0|0|0|0
-87.2|0|0|0|0
-87.1|0|0|0|0
-87|0|0|0|0
-86.9|0|0|0|0
-86.8|0|0|0|0
-86.7|0|0|0|0
-86.6|0|0|0|0
-86.5|0|0|0|0
-86.4|0|0|0|0
-86.3|0|0|0|0
-86.2|0|0|0|0
-86.1|0|0|0|0
-86|0|0|0|0
-85.9|0|0|0|0
-85.8|0|0|0|0
-85.7|0|0|0|0
-85.6|0|0|0|0
-85.5|0|0|0|0
-85.4|0|0|0|0
-85.3|0|0|0|0
-85.2|0|0|0|0
-85.1|0|0|0|0
-85|0|0|0|0
-84.9|0|0|0|0
-84.8|0|0|0|0
-84.7|0|0|0|0
-84.6|0|0|0|0
-84.5|0|0|0|0
-84.4|0|0|0|0
-84.3|0|0|0|0
-84.2|0|0|0|0
-84.1|0|0|0|0
-84|0|0|0|0
-83.9|0|0|0|0
-83.8|0|0|0|0
-83.7|0|0|0|0
-83.6|0|0|0|0
-83.5|0|0|0|0
-83.4|0|0|0|0
-83.3|0|0|0|0
-83.2|0|0|0|0
-83.1|0|0|0|0
-83|0|0|0|0
-82.9|0|0|0|0
-82.8|0|0|0|0
-82.7|0|0|0|0
